"ConflictId","ConflictType","ShareId","ItemId","Identity","ShareRights","NtfsRights","Severity","Message"
"59b5f878d7794e72a6315fb1880f4a5c","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1d0ccf42b61a4d3f8a8ccd903207a0de","NT AUTHORITY\SYSTEM","","FullControl","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"dd48c6344aab4221a6764043557c4e29","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1d0ccf42b61a4d3f8a8ccd903207a0de","NT AUTHORITY\SYSTEM","","0x10000000","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"d6a4c93763244524b510d7dc3ae082c9","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1d0ccf42b61a4d3f8a8ccd903207a0de","NT AUTHORITY\Authenticated Users","","Modify, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"505ef42f1f864e5984c3a15279a0b72a","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1d0ccf42b61a4d3f8a8ccd903207a0de","NT AUTHORITY\Authenticated Users","","0xFFFFFFFFE0010000","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"b1d8e723c5e844eb8d59a73695c070ca","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1d0ccf42b61a4d3f8a8ccd903207a0de","BUILTIN\Users","","ReadAndExecute, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"e993c43fe8ce4546be9b4d8f19fdb553","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1d0ccf42b61a4d3f8a8ccd903207a0de","BUILTIN\Users","","0xFFFFFFFFA0000000","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"b86ceb8216a94ee9ae43bfe4e5277ed6","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","c0aa815c70f2449f83c8d600a9250fd3","NT AUTHORITY\SYSTEM","","FullControl","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"1cf1aab9aceb4e99846c5080b13e0d32","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","c0aa815c70f2449f83c8d600a9250fd3","NT AUTHORITY\SYSTEM","","0x10000000","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"8183386390df4ee89ac79f3e5b3f2c2c","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","c0aa815c70f2449f83c8d600a9250fd3","NT AUTHORITY\Authenticated Users","","Modify, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"06abe768898b4bf08c25066234a191f8","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","c0aa815c70f2449f83c8d600a9250fd3","NT AUTHORITY\Authenticated Users","","0xFFFFFFFFE0010000","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"851ef498def541afb720f55ea91a5436","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","c0aa815c70f2449f83c8d600a9250fd3","BUILTIN\Users","","ReadAndExecute, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"c9c6e93e03a045148a421d9cd3457111","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","c0aa815c70f2449f83c8d600a9250fd3","BUILTIN\Users","","0xFFFFFFFFA0000000","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"4b072c2b74d2475a82b2847af68f5b26","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1a19fc05d19941098fef2b00f158438b","NT AUTHORITY\SYSTEM","","FullControl","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"880c07ce924a4c4ebfbbda0a027763bb","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1a19fc05d19941098fef2b00f158438b","NT AUTHORITY\SYSTEM","","0x10000000","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"02ecc5890d3c4410ac9bc6ec4971826f","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1a19fc05d19941098fef2b00f158438b","NT AUTHORITY\Authenticated Users","","Modify, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"16125ae6a67148e1a757b839ec4a2c6b","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1a19fc05d19941098fef2b00f158438b","NT AUTHORITY\Authenticated Users","","0xFFFFFFFFE0010000","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"914a06738cab4e51a7d36bc7756c9faf","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1a19fc05d19941098fef2b00f158438b","BUILTIN\Users","","ReadAndExecute, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"517740d305ac476bbb1dd3449df65f4c","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","1a19fc05d19941098fef2b00f158438b","BUILTIN\Users","","0xFFFFFFFFA0000000","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"7a6cb8b1d37f4d4f934d6115433da045","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","a37ff4a73e2f4b079520bb27b47ca4db","NT AUTHORITY\SYSTEM","","FullControl","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
