"ItemId","ShareId","ItemType","FullPath","RelativePath","Depth","Owner","InheritanceEnabled","InheritanceBrokenAt"
"1d0ccf42b61a4d3f8a8ccd903207a0de","share-WINSERVER-SSEngineering","Directory","C:\ShareSurferEnterpriseLab\Engineering","","0","BUILTIN\Administrators","True",""
"1a19fc05d19941098fef2b00f158438b","share-WINSERVER-SSEngineering","Directory","C:\ShareSurferEnterpriseLab\Engineering\Projects","Projects","1","BUILTIN\Administrators","True",""
"75c3878320644210b30001fbe727e855","share-WINSERVER-SSEnt0001","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0001","","0","BUILTIN\Administrators","True",""
"ba068245175d46edbea5c14a8d300af2","share-WINSERVER-SSEnt0002","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0002","","0","BUILTIN\Administrators","True",""
"c0aa815c70f2449f83c8d600a9250fd3","share-WINSERVER-SSEngineering","Directory","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","EnterpriseEvidence","1","BUILTIN\Administrators","True",""
"44ab3ba7809e48738f92009c0da71989","share-WINSERVER-SSEngineering","File","C:\ShareSurferEnterpriseLab\Engineering\Projects\sample.txt","Projects\sample.txt","2","BUILTIN\Administrators","True",""
"98a26998baf84a9fb8afd0a5d4f8a19b","share-WINSERVER-SSEnt0001","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02","Division02","1","BUILTIN\Administrators","True",""
"4b9e86fb53c846e6a418fe251be9125e","share-WINSERVER-SSEnt0002","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0002\Division03","Division03","1","BUILTIN\Administrators","True",""
"de94f10027f944e6b9fca6d7e38162af","share-WINSERVER-SSEnt0001","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02","Division02\Region02","2","BUILTIN\Administrators","True",""
"c117c1df7f024e91aca9532ebb37b4e5","share-WINSERVER-SSEnt0002","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0002\Division03\Region03","Division03\Region03","2","BUILTIN\Administrators","True",""
"a37ff4a73e2f4b079520bb27b47ca4db","share-WINSERVER-SSEngineering","File","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence\Fixture01.txt","EnterpriseEvidence\Fixture01.txt","2","BUILTIN\Administrators","True",""
"2c75bae154bf4d53abe559bb1cde3388","share-WINSERVER-SSEngineering","File","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence\Fixture02.txt","EnterpriseEvidence\Fixture02.txt","2","BUILTIN\Administrators","True",""
"1de22b5f75114abe8f3f6ab4c95d6128","share-WINSERVER-SSEngineering","File","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence\Fixture03.txt","EnterpriseEvidence\Fixture03.txt","2","BUILTIN\Administrators","True",""
"ae548902fed640f2ad43019f848d4fc3","share-WINSERVER-SSEngineering","File","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence\Fixture04.txt","EnterpriseEvidence\Fixture04.txt","2","BUILTIN\Administrators","True",""
