"EventId","Timestamp","Level","EventType","Source","ShareId","ItemId","Message","Detail"
"4bf816ccf4aa482da149c2ad2b601364","2026-06-11T01:36:21.8752987Z","Info","CollectionProviderSelected","NativeSmbRpc","","","Using native SMB/RPC provider for 3 explicit share target(s) on WINSERVER.","Win32 NetShareGetInfo and GetNamedSecurityInfoW"
"f375b5f3039f454db08c8509d0425465","2026-06-11T01:36:22.2074404Z","Info","ShareTargetResolved","NativeSmbRpc","share-WINSERVER-SSEngineering","","Resolved share target \\WINSERVER\SSEngineering through native SMB/RPC.","C:\ShareSurferEnterpriseLab\Engineering"
"d48b63d169be484ab35b7cddc3697ed3","2026-06-11T01:36:22.3373601Z","Info","SharePermissionsCollected","NativeSmbRpc","share-WINSERVER-SSEngineering","","Collected 2 share-level permission row(s) for \\WINSERVER\SSEngineering through native SMB/RPC.","SHARE_INFO_502 security descriptor"
"9e5e928e85c64b3698a3d8deb705bc20","2026-06-11T01:36:22.3808607Z","Info","TargetPathResolved","TargetPath","share-WINSERVER-SSEngineering","","Resolved target path C:\ShareSurferEnterpriseLab\Engineering","C:\ShareSurferEnterpriseLab\Engineering"
"d19dd8b5ffc34aeb9e820f4ad34c1cd3","2026-06-11T01:36:22.7125922Z","Info","ShareTargetResolved","NativeSmbRpc","share-WINSERVER-SSEnt0001","","Resolved share target \\WINSERVER\SSEnt0001 through native SMB/RPC.","C:\ShareSurferEnterpriseLab\Enterprise\Share0001"
"222e61c5021846a3acb662131348b5c9","2026-06-11T01:36:22.7166260Z","Info","SharePermissionsCollected","NativeSmbRpc","share-WINSERVER-SSEnt0001","","Collected 2 share-level permission row(s) for \\WINSERVER\SSEnt0001 through native SMB/RPC.","SHARE_INFO_502 security descriptor"
"ccde873a2ab54d9f829d326ac9ccf392","2026-06-11T01:36:22.7206631Z","Info","TargetPathResolved","TargetPath","share-WINSERVER-SSEnt0001","","Resolved target path C:\ShareSurferEnterpriseLab\Enterprise\Share0001","C:\ShareSurferEnterpriseLab\Enterprise\Share0001"
"39c02e3d9dd24f9d9115878927aaaef6","2026-06-11T01:36:23.2535679Z","Info","ShareTargetResolved","NativeSmbRpc","share-WINSERVER-SSEnt0002","","Resolved share target \\WINSERVER\SSEnt0002 through native SMB/RPC.","C:\ShareSurferEnterpriseLab\Enterprise\Share0002"
"e15557ac44f04036a7ee8b0256a827ee","2026-06-11T01:36:23.2603848Z","Info","SharePermissionsCollected","NativeSmbRpc","share-WINSERVER-SSEnt0002","","Collected 2 share-level permission row(s) for \\WINSERVER\SSEnt0002 through native SMB/RPC.","SHARE_INFO_502 security descriptor"
"3b28d8923adb4a208bb21dba3a43a8fb","2026-06-11T01:36:23.2624070Z","Info","TargetPathResolved","TargetPath","share-WINSERVER-SSEnt0002","","Resolved target path C:\ShareSurferEnterpriseLab\Enterprise\Share0002","C:\ShareSurferEnterpriseLab\Enterprise\Share0002"
"272e40b0f6b448f69db8e9709cd3b505","2026-06-11T01:36:23.8574798Z","Info","ScanStarted","SmbShare","","","ShareSurfer scan export started for SmbShare",""
"065077808a4943d7964f68bfbecba4a6","2026-06-11T01:36:24.7803917Z","Info","ExportCompleted","Export","","","Export completed at C:\ShareSurfer\native-validation\issue184-native-20260610-183619\native-export","Findings=4; Conflicts=323"
