"ItemId","ShareId","FullPath","Identity","Rights","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags","Depth"
"68a5065543ec4bcdb16873b2046615e4","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","LAB\SS-Eng-Readers","ReadAndExecute, Synchronize","Allow","False","ContainerInherit, ObjectInherit","None","0"
"68a5065543ec4bcdb16873b2046615e4","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","BUILTIN\Administrators","FullControl","Allow","True","None","None","0"
"68a5065543ec4bcdb16873b2046615e4","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","BUILTIN\Administrators","268435456","Allow","True","ContainerInherit, ObjectInherit","InheritOnly","0"
"68a5065543ec4bcdb16873b2046615e4","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","NT AUTHORITY\SYSTEM","FullControl","Allow","True","None","None","0"
"68a5065543ec4bcdb16873b2046615e4","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","NT AUTHORITY\SYSTEM","268435456","Allow","True","ContainerInherit, ObjectInherit","InheritOnly","0"
"68a5065543ec4bcdb16873b2046615e4","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None","0"
"68a5065543ec4bcdb16873b2046615e4","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly","0"
"68a5065543ec4bcdb16873b2046615e4","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","None","None","0"
"68a5065543ec4bcdb16873b2046615e4","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","BUILTIN\Users","-1610612736","Allow","True","ContainerInherit, ObjectInherit","InheritOnly","0"
"36cbe1051d7d4b249cc6552b8f183fd9","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","LAB\SS-Eng-Readers","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None","1"
"36cbe1051d7d4b249cc6552b8f183fd9","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","BUILTIN\Administrators","FullControl","Allow","True","None","None","1"
"36cbe1051d7d4b249cc6552b8f183fd9","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","BUILTIN\Administrators","268435456","Allow","True","ContainerInherit, ObjectInherit","InheritOnly","1"
"36cbe1051d7d4b249cc6552b8f183fd9","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","NT AUTHORITY\SYSTEM","FullControl","Allow","True","None","None","1"
"36cbe1051d7d4b249cc6552b8f183fd9","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","NT AUTHORITY\SYSTEM","268435456","Allow","True","ContainerInherit, ObjectInherit","InheritOnly","1"
"36cbe1051d7d4b249cc6552b8f183fd9","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None","1"
"36cbe1051d7d4b249cc6552b8f183fd9","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly","1"
"36cbe1051d7d4b249cc6552b8f183fd9","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","None","None","1"
"36cbe1051d7d4b249cc6552b8f183fd9","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","BUILTIN\Users","-1610612736","Allow","True","ContainerInherit, ObjectInherit","InheritOnly","1"
"387ad190ceec4976a776ccce2d7a5805","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\Projects","LAB\SS-Eng-Readers","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None","1"
"387ad190ceec4976a776ccce2d7a5805","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\Projects","BUILTIN\Administrators","FullControl","Allow","True","None","None","1"
"387ad190ceec4976a776ccce2d7a5805","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\Projects","BUILTIN\Administrators","268435456","Allow","True","ContainerInherit, ObjectInherit","InheritOnly","1"
"387ad190ceec4976a776ccce2d7a5805","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\Projects","NT AUTHORITY\SYSTEM","FullControl","Allow","True","None","None","1"
"387ad190ceec4976a776ccce2d7a5805","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\Projects","NT AUTHORITY\SYSTEM","268435456","Allow","True","ContainerInherit, ObjectInherit","InheritOnly","1"
"387ad190ceec4976a776ccce2d7a5805","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\Projects","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None","1"
