"ConflictId","ConflictType","ShareId","ItemId","Identity","ShareRights","NtfsRights","Severity","Message"
"ec8f9a3286bf466593c1813cf09cbc16","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","68a5065543ec4bcdb16873b2046615e4","NT AUTHORITY\SYSTEM","","FullControl","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"c00ffdee030541fb820bfde1cfb42236","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","68a5065543ec4bcdb16873b2046615e4","NT AUTHORITY\SYSTEM","","268435456","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"35c1fc4e815247dab3a356f035a7450b","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","68a5065543ec4bcdb16873b2046615e4","NT AUTHORITY\Authenticated Users","","Modify, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"b52fd687aaaf478687e561b234aeab3a","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","68a5065543ec4bcdb16873b2046615e4","NT AUTHORITY\Authenticated Users","","-536805376","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"7b60ad6cb819428d968738a329468de5","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","68a5065543ec4bcdb16873b2046615e4","BUILTIN\Users","","ReadAndExecute, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"b4fc4e184707463c95180409c42eed36","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","68a5065543ec4bcdb16873b2046615e4","BUILTIN\Users","","-1610612736","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"1f67a70d634f4512ba908430c46ca8da","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","36cbe1051d7d4b249cc6552b8f183fd9","NT AUTHORITY\SYSTEM","","FullControl","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"3d75c7b4ae0c4b65abe435381530b6e8","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","36cbe1051d7d4b249cc6552b8f183fd9","NT AUTHORITY\SYSTEM","","268435456","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"24b4cf5467eb42c8b5324db58a055d17","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","36cbe1051d7d4b249cc6552b8f183fd9","NT AUTHORITY\Authenticated Users","","Modify, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"ad1d17ea931a446faf2fb49ac0370e07","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","36cbe1051d7d4b249cc6552b8f183fd9","NT AUTHORITY\Authenticated Users","","-536805376","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"0839a02215bb4ca78d98bc5d1ea096d4","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","36cbe1051d7d4b249cc6552b8f183fd9","BUILTIN\Users","","ReadAndExecute, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"87c23613f9e24af58a464059595a0bd1","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","36cbe1051d7d4b249cc6552b8f183fd9","BUILTIN\Users","","-1610612736","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"f48f0ed20c1e41b59273419f62fa448a","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","387ad190ceec4976a776ccce2d7a5805","NT AUTHORITY\SYSTEM","","FullControl","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"a75fb0428ccf440e86314673db3960d8","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","387ad190ceec4976a776ccce2d7a5805","NT AUTHORITY\SYSTEM","","268435456","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
"bdc44a08071746acaa319eb7a7677209","NtfsIdentityMissingShareGate","share-WINSERVER-SSEngineering","387ad190ceec4976a776ccce2d7a5805","NT AUTHORITY\Authenticated Users","","Modify, Synchronize","High","NTFS grants rights to an identity that does not appear in the share-level permission gate."
