"FindingId","FindingType","Severity","ShareId","ItemId","FullPath","Identity","ObservedValue","PolicyValue","Message"
"c9ea61db55294f12ae2fdd2d1d892b4c","BrokenInheritance","Warning","share-WINSERVER-SSOperations","830d60f297f5444e97d0a9f1d2c1e83d","C:\ShareSurferEnterpriseLab\Operations\Restricted","","C:\ShareSurferEnterpriseLab\Operations\Restricted","Inheritance enabled","Inheritance is disabled or was recorded as broken for this item."
"e567f69805244f64967364a454263681","BrokenInheritance","Warning","share-WINSERVER-SSOperations","478f55e29b534d8887553afdda35ae6e","C:\ShareSurferEnterpriseLab\Operations\Restricted\FileOnly","","C:\ShareSurferEnterpriseLab\Operations\Restricted","Inheritance enabled","Inheritance is disabled or was recorded as broken for this item."
"d3d7dc1e407647739c8af68fafbe683f","BrokenInheritance","Warning","share-WINSERVER-SSOperations","6ebf077999df43739120d975a87ec5be","C:\ShareSurferEnterpriseLab\Operations\Restricted\sample.txt","","C:\ShareSurferEnterpriseLab\Operations\Restricted","Inheritance enabled","Inheritance is disabled or was recorded as broken for this item."
"cb7bbe0384d14323b2b5afbe5929fb3f","BrokenInheritance","Warning","share-WINSERVER-SSOperations","79ed8ad22f894099988e4f5404d33176","C:\ShareSurferEnterpriseLab\Operations\Restricted\FileOnly\executive-note.txt","","C:\ShareSurferEnterpriseLab\Operations\Restricted","Inheritance enabled","Inheritance is disabled or was recorded as broken for this item."
"77285549295543acbf5be4b4be551123","LongPathOperationalPolicy","Warning","share-WINSERVER-SSFinance","0e88c220d79e4c3088e17d58a582ebf0","C:\ShareSurferEnterpriseLab\Finance\AP\LongPath\AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA\BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","","299","256","Full path exceeds the configured ShareSurfer operational migration policy threshold. This is separate from Azure Files hard limits."
"d58a8251cf8d405b92baaa7470717742","LongPathOperationalPolicy","Warning","share-WINSERVER-SSEnt0001","f7d47921fc444715a6e0d02e875b3dc2","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02\LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL\MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM","","343","256","Full path exceeds the configured ShareSurfer operational migration policy threshold. This is separate from Azure Files hard limits."
"1d80d961278b44e5836d53e2a057da37","DeepExplicitAce","High","share-WINSERVER-SSFinance","e8b9eb46af9e496e89e2d65f5c9257d8","C:\ShareSurferEnterpriseLab\Finance\AP\Conflict\ReaderModify","LAB\SS-Finance-Readers","3","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"f9accd236d4149b9a3879e379023c8fe","DeepExplicitAce","High","share-WINSERVER-SSFinance","e8b9eb46af9e496e89e2d65f5c9257d8","C:\ShareSurferEnterpriseLab\Finance\AP\Conflict\ReaderModify","LAB\SS-Finance-Readers","3","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"409923eee5f34975a07d706c02a11053","DeepExplicitAce","High","share-WINSERVER-SSFinance","47edcd6beaac4d5c87f3742dcef144a8","C:\ShareSurferEnterpriseLab\Finance\AP\Vendor\Archive","LAB\SS-Finance-Editors","3","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"6ec9408128aa4e9aa073fc3480bc6cb8","DeepExplicitAce","High","share-WINSERVER-SSOperations","79ed8ad22f894099988e4f5404d33176","C:\ShareSurferEnterpriseLab\Operations\Restricted\FileOnly\executive-note.txt","LAB\SS-Operations-Owners","3","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
