"Group","DisplayName","ObjectClass","ObsPath","ManagerLevel1","ShareAssignments","NtfsAssignments","ExpandedMembers","MaxDepth","HasCycle","IsTruncated","Rights","ShareId","ShareIds","Sources","FullPath","ExamplePath"
"LAB\SS-Finance-Editors","SS-Finance-Editors","group","CORP.FIN.ACCESS.MODIFY","","0","6","4","2","False","False","Modify, Synchronize","share-WINSERVER-SSFinance","share-WINSERVER-SSFinance","NTFS","C:\ShareSurferEnterpriseLab\Finance\AP\Conflict","C:\ShareSurferEnterpriseLab\Finance\AP\Conflict"
"BUILTIN\Administrators","Administrators","group","","","250","9201","3","2","False","False","268435456; Full; FullControl","share-WINSERVER-SSFinance","share-WINSERVER-SSEngineering; share-WINSERVER-SSEnt0001; share-WINSERVER-SSEnt0002; share-WINSERVER-SSEnt0003; share-WINSERVER-SSEnt0004; share-WINSERVER-SSEnt0005; share-WINSERVER-SSEnt0006; share-WINSERVER-SSEnt0007; share-WINSERVER-SSEnt0008; share-WINSERVER-SSEnt0009; share-WINSERVER-SSEnt0010; share-WINSERVER-SSEnt0011; share-WINSERVER-SSEnt0012; share-WINSERVER-SSEnt0013; share-WINSERVER-SSEnt0014; share-WINSERVER-SSEnt0015; share-WINSERVER-SSEnt0016; share-WINSERVER-SSEnt0017; share-WINSERVER-SSEnt0018; share-WINSERVER-SSEnt0019; share-WINSERVER-SSEnt0020; share-WINSERVER-SSEnt0021; share-WINSERVER-SSEnt0022; share-WINSERVER-SSEnt0023; share-WINSERVER-SSEnt0024; share-WINSERVER-SSEnt0025; share-WINSERVER-SSEnt0026; share-WINSERVER-SSEnt0027; share-WINSERVER-SSEnt0028; share-WINSERVER-SSEnt0029; share-WINSERVER-SSEnt0030; share-WINSERVER-SSEnt0031; share-WINSERVER-SSEnt0032; share-WINSERVER-SSEnt0033; share-WINSERVER-SSEnt0034; share-WINSERVER-SSEnt0035; share-WINSERVER-SSEnt0036; share-WINSERVER-SSEnt0037; share-WINSERVER-SSEnt0038; share-WINSERVER-SSEnt0039; share-WINSERVER-SSEnt0040; share-WINSERVER-SSEnt0041; share-WINSERVER-SSEnt0042; share-WINSERVER-SSEnt0043; share-WINSERVER-SSEnt0044; share-WINSERVER-SSEnt0045; share-WINSERVER-SSEnt0046; share-WINSERVER-SSEnt0047; share-WINSERVER-SSEnt0048; share-WINSERVER-SSEnt0049; share-WINSERVER-SSEnt0050; share-WINSERVER-SSEnt0051; share-WINSERVER-SSEnt0052; share-WINSERVER-SSEnt0053; share-WINSERVER-SSEnt0054; share-WINSERVER-SSEnt0055; share-WINSERVER-SSEnt0056; share-WINSERVER-SSEnt0057; share-WINSERVER-SSEnt0058; share-WINSERVER-SSEnt0059; share-WINSERVER-SSEnt0060; share-WINSERVER-SSEnt0061; share-WINSERVER-SSEnt0062; share-WINSERVER-SSEnt0063; share-WINSERVER-SSEnt0064; share-WINSERVER-SSEnt0065; share-WINSERVER-SSEnt0066; share-WINSERVER-SSEnt0067; share-WINSERVER-SSEnt0068; share-WINSERVER-SSEnt0069; share-WINSERVER-SSEnt0070; share-WINSERVER-SSEnt0071; share-WINSERVER-SSEnt0072; share-WINSERVER-SSEnt0073; share-WINSERVER-SSEnt0074; share-WINSERVER-SSEnt0075; share-WINSERVER-SSEnt0076; share-WINSERVER-SSEnt0077; share-WINSERVER-SSEnt0078; share-WINSERVER-SSEnt0079; share-WINSERVER-SSEnt0080; share-WINSERVER-SSEnt0081; share-WINSERVER-SSEnt0082; share-WINSERVER-SSEnt0083; share-WINSERVER-SSEnt0084; share-WINSERVER-SSEnt0085; share-WINSERVER-SSEnt0086; share-WINSERVER-SSEnt0087; share-WINSERVER-SSEnt0088; share-WINSERVER-SSEnt0089; share-WINSERVER-SSEnt0090; share-WINSERVER-SSEnt0091; share-WINSERVER-SSEnt0092; share-WINSERVER-SSEnt0093; share-WINSERVER-SSEnt0094; share-WINSERVER-SSEnt0095; share-WINSERVER-SSEnt0096; share-WINSERVER-SSEnt0097; share-WINSERVER-SSEnt0098; share-WINSERVER-SSEnt0099; share-WINSERVER-SSEnt0100; share-WINSERVER-SSEnt0101; share-WINSERVER-SSEnt0102; share-WINSERVER-SSEnt0103; share-WINSERVER-SSEnt0104; share-WINSERVER-SSEnt0105; share-WINSERVER-SSEnt0106; share-WINSERVER-SSEnt0107; share-WINSERVER-SSEnt0108; share-WINSERVER-SSEnt0109; share-WINSERVER-SSEnt0110; share-WINSERVER-SSEnt0111; share-WINSERVER-SSEnt0112; share-WINSERVER-SSEnt0113; share-WINSERVER-SSEnt0114; share-WINSERVER-SSEnt0115; share-WINSERVER-SSEnt0116; share-WINSERVER-SSEnt0117; share-WINSERVER-SSEnt0118; share-WINSERVER-SSEnt0119; share-WINSERVER-SSEnt0120; share-WINSERVER-SSEnt0121; share-WINSERVER-SSEnt0122; share-WINSERVER-SSEnt0123; share-WINSERVER-SSEnt0124; share-WINSERVER-SSEnt0125; share-WINSERVER-SSEnt0126; share-WINSERVER-SSEnt0127; share-WINSERVER-SSEnt0128; share-WINSERVER-SSEnt0129; share-WINSERVER-SSEnt0130; share-WINSERVER-SSEnt0131; share-WINSERVER-SSEnt0132; share-WINSERVER-SSEnt0133; share-WINSERVER-SSEnt0134; share-WINSERVER-SSEnt0135; share-WINSERVER-SSEnt0136; share-WINSERVER-SSEnt0137; share-WINSERVER-SSEnt0138; share-WINSERVER-SSEnt0139; share-WINSERVER-SSEnt0140; share-WINSERVER-SSEnt0141; share-WINSERVER-SSEnt0142; share-WINSERVER-SSEnt0143; share-WINSERVER-SSEnt0144; share-WINSERVER-SSEnt0145; share-WINSERVER-SSEnt0146; share-WINSERVER-SSEnt0147; share-WINSERVER-SSEnt0148; share-WINSERVER-SSEnt0149; share-WINSERVER-SSEnt0150; share-WINSERVER-SSEnt0151; share-WINSERVER-SSEnt0152; share-WINSERVER-SSEnt0153; share-WINSERVER-SSEnt0154; share-WINSERVER-SSEnt0155; share-WINSERVER-SSEnt0156; share-WINSERVER-SSEnt0157; share-WINSERVER-SSEnt0158; share-WINSERVER-SSEnt0159; share-WINSERVER-SSEnt0160; share-WINSERVER-SSEnt0161; share-WINSERVER-SSEnt0162; share-WINSERVER-SSEnt0163; share-WINSERVER-SSEnt0164; share-WINSERVER-SSEnt0165; share-WINSERVER-SSEnt0166; share-WINSERVER-SSEnt0167; share-WINSERVER-SSEnt0168; share-WINSERVER-SSEnt0169; share-WINSERVER-SSEnt0170; share-WINSERVER-SSEnt0171; share-WINSERVER-SSEnt0172; share-WINSERVER-SSEnt0173; share-WINSERVER-SSEnt0174; share-WINSERVER-SSEnt0175; share-WINSERVER-SSEnt0176; share-WINSERVER-SSEnt0177; share-WINSERVER-SSEnt0178; share-WINSERVER-SSEnt0179; share-WINSERVER-SSEnt0180; share-WINSERVER-SSEnt0181; share-WINSERVER-SSEnt0182; share-WINSERVER-SSEnt0183; share-WINSERVER-SSEnt0184; share-WINSERVER-SSEnt0185; share-WINSERVER-SSEnt0186; share-WINSERVER-SSEnt0187; share-WINSERVER-SSEnt0188; share-WINSERVER-SSEnt0189; share-WINSERVER-SSEnt0190; share-WINSERVER-SSEnt0191; share-WINSERVER-SSEnt0192; share-WINSERVER-SSEnt0193; share-WINSERVER-SSEnt0194; share-WINSERVER-SSEnt0195; share-WINSERVER-SSEnt0196; share-WINSERVER-SSEnt0197; share-WINSERVER-SSEnt0198; share-WINSERVER-SSEnt0199; share-WINSERVER-SSEnt0200; share-WINSERVER-SSEnt0201; share-WINSERVER-SSEnt0202; share-WINSERVER-SSEnt0203; share-WINSERVER-SSEnt0204; share-WINSERVER-SSEnt0205; share-WINSERVER-SSEnt0206; share-WINSERVER-SSEnt0207; share-WINSERVER-SSEnt0208; share-WINSERVER-SSEnt0209; share-WINSERVER-SSEnt0210; share-WINSERVER-SSEnt0211; share-WINSERVER-SSEnt0212; share-WINSERVER-SSEnt0213; share-WINSERVER-SSEnt0214; share-WINSERVER-SSEnt0215; share-WINSERVER-SSEnt0216; share-WINSERVER-SSEnt0217; share-WINSERVER-SSEnt0218; share-WINSERVER-SSEnt0219; share-WINSERVER-SSEnt0220; share-WINSERVER-SSEnt0221; share-WINSERVER-SSEnt0222; share-WINSERVER-SSEnt0223; share-WINSERVER-SSEnt0224; share-WINSERVER-SSEnt0225; share-WINSERVER-SSEnt0226; share-WINSERVER-SSEnt0227; share-WINSERVER-SSEnt0228; share-WINSERVER-SSEnt0229; share-WINSERVER-SSEnt0230; share-WINSERVER-SSEnt0231; share-WINSERVER-SSEnt0232; share-WINSERVER-SSEnt0233; share-WINSERVER-SSEnt0234; share-WINSERVER-SSEnt0235; share-WINSERVER-SSEnt0236; share-WINSERVER-SSEnt0237; share-WINSERVER-SSEnt0238; share-WINSERVER-SSEnt0239; share-WINSERVER-SSEnt0240; share-WINSERVER-SSEnt0241; share-WINSERVER-SSEnt0242; share-WINSERVER-SSEnt0243; share-WINSERVER-SSEnt0244; share-WINSERVER-SSEnt0245; share-WINSERVER-SSEnt0246; share-WINSERVER-SSEnt0247; share-WINSERVER-SSFinance; share-WINSERVER-SSOperations","NTFS; Share","C:\ShareSurferEnterpriseLab\Finance","C:\ShareSurferEnterpriseLab\Finance"
"BUILTIN\Users","Users","group","","","0","9201","3","1","False","False","-1610612736; ReadAndExecute, Synchronize","share-WINSERVER-SSFinance","share-WINSERVER-SSEngineering; share-WINSERVER-SSEnt0001; share-WINSERVER-SSEnt0002; share-WINSERVER-SSEnt0003; share-WINSERVER-SSEnt0004; share-WINSERVER-SSEnt0005; share-WINSERVER-SSEnt0006; share-WINSERVER-SSEnt0007; share-WINSERVER-SSEnt0008; share-WINSERVER-SSEnt0009; share-WINSERVER-SSEnt0010; share-WINSERVER-SSEnt0011; share-WINSERVER-SSEnt0012; share-WINSERVER-SSEnt0013; share-WINSERVER-SSEnt0014; share-WINSERVER-SSEnt0015; share-WINSERVER-SSEnt0016; share-WINSERVER-SSEnt0017; share-WINSERVER-SSEnt0018; share-WINSERVER-SSEnt0019; share-WINSERVER-SSEnt0020; share-WINSERVER-SSEnt0021; share-WINSERVER-SSEnt0022; share-WINSERVER-SSEnt0023; share-WINSERVER-SSEnt0024; share-WINSERVER-SSEnt0025; share-WINSERVER-SSEnt0026; share-WINSERVER-SSEnt0027; share-WINSERVER-SSEnt0028; share-WINSERVER-SSEnt0029; share-WINSERVER-SSEnt0030; share-WINSERVER-SSEnt0031; share-WINSERVER-SSEnt0032; share-WINSERVER-SSEnt0033; share-WINSERVER-SSEnt0034; share-WINSERVER-SSEnt0035; share-WINSERVER-SSEnt0036; share-WINSERVER-SSEnt0037; share-WINSERVER-SSEnt0038; share-WINSERVER-SSEnt0039; share-WINSERVER-SSEnt0040; share-WINSERVER-SSEnt0041; share-WINSERVER-SSEnt0042; share-WINSERVER-SSEnt0043; share-WINSERVER-SSEnt0044; share-WINSERVER-SSEnt0045; share-WINSERVER-SSEnt0046; share-WINSERVER-SSEnt0047; share-WINSERVER-SSEnt0048; share-WINSERVER-SSEnt0049; share-WINSERVER-SSEnt0050; share-WINSERVER-SSEnt0051; share-WINSERVER-SSEnt0052; share-WINSERVER-SSEnt0053; share-WINSERVER-SSEnt0054; share-WINSERVER-SSEnt0055; share-WINSERVER-SSEnt0056; share-WINSERVER-SSEnt0057; share-WINSERVER-SSEnt0058; share-WINSERVER-SSEnt0059; share-WINSERVER-SSEnt0060; share-WINSERVER-SSEnt0061; share-WINSERVER-SSEnt0062; share-WINSERVER-SSEnt0063; share-WINSERVER-SSEnt0064; share-WINSERVER-SSEnt0065; share-WINSERVER-SSEnt0066; share-WINSERVER-SSEnt0067; share-WINSERVER-SSEnt0068; share-WINSERVER-SSEnt0069; share-WINSERVER-SSEnt0070; share-WINSERVER-SSEnt0071; share-WINSERVER-SSEnt0072; share-WINSERVER-SSEnt0073; share-WINSERVER-SSEnt0074; share-WINSERVER-SSEnt0075; share-WINSERVER-SSEnt0076; share-WINSERVER-SSEnt0077; share-WINSERVER-SSEnt0078; share-WINSERVER-SSEnt0079; share-WINSERVER-SSEnt0080; share-WINSERVER-SSEnt0081; share-WINSERVER-SSEnt0082; share-WINSERVER-SSEnt0083; share-WINSERVER-SSEnt0084; share-WINSERVER-SSEnt0085; share-WINSERVER-SSEnt0086; share-WINSERVER-SSEnt0087; share-WINSERVER-SSEnt0088; share-WINSERVER-SSEnt0089; share-WINSERVER-SSEnt0090; share-WINSERVER-SSEnt0091; share-WINSERVER-SSEnt0092; share-WINSERVER-SSEnt0093; share-WINSERVER-SSEnt0094; share-WINSERVER-SSEnt0095; share-WINSERVER-SSEnt0096; share-WINSERVER-SSEnt0097; share-WINSERVER-SSEnt0098; share-WINSERVER-SSEnt0099; share-WINSERVER-SSEnt0100; share-WINSERVER-SSEnt0101; share-WINSERVER-SSEnt0102; share-WINSERVER-SSEnt0103; share-WINSERVER-SSEnt0104; share-WINSERVER-SSEnt0105; share-WINSERVER-SSEnt0106; share-WINSERVER-SSEnt0107; share-WINSERVER-SSEnt0108; share-WINSERVER-SSEnt0109; share-WINSERVER-SSEnt0110; share-WINSERVER-SSEnt0111; share-WINSERVER-SSEnt0112; share-WINSERVER-SSEnt0113; share-WINSERVER-SSEnt0114; share-WINSERVER-SSEnt0115; share-WINSERVER-SSEnt0116; share-WINSERVER-SSEnt0117; share-WINSERVER-SSEnt0118; share-WINSERVER-SSEnt0119; share-WINSERVER-SSEnt0120; share-WINSERVER-SSEnt0121; share-WINSERVER-SSEnt0122; share-WINSERVER-SSEnt0123; share-WINSERVER-SSEnt0124; share-WINSERVER-SSEnt0125; share-WINSERVER-SSEnt0126; share-WINSERVER-SSEnt0127; share-WINSERVER-SSEnt0128; share-WINSERVER-SSEnt0129; share-WINSERVER-SSEnt0130; share-WINSERVER-SSEnt0131; share-WINSERVER-SSEnt0132; share-WINSERVER-SSEnt0133; share-WINSERVER-SSEnt0134; share-WINSERVER-SSEnt0135; share-WINSERVER-SSEnt0136; share-WINSERVER-SSEnt0137; share-WINSERVER-SSEnt0138; share-WINSERVER-SSEnt0139; share-WINSERVER-SSEnt0140; share-WINSERVER-SSEnt0141; share-WINSERVER-SSEnt0142; share-WINSERVER-SSEnt0143; share-WINSERVER-SSEnt0144; share-WINSERVER-SSEnt0145; share-WINSERVER-SSEnt0146; share-WINSERVER-SSEnt0147; share-WINSERVER-SSEnt0148; share-WINSERVER-SSEnt0149; share-WINSERVER-SSEnt0150; share-WINSERVER-SSEnt0151; share-WINSERVER-SSEnt0152; share-WINSERVER-SSEnt0153; share-WINSERVER-SSEnt0154; share-WINSERVER-SSEnt0155; share-WINSERVER-SSEnt0156; share-WINSERVER-SSEnt0157; share-WINSERVER-SSEnt0158; share-WINSERVER-SSEnt0159; share-WINSERVER-SSEnt0160; share-WINSERVER-SSEnt0161; share-WINSERVER-SSEnt0162; share-WINSERVER-SSEnt0163; share-WINSERVER-SSEnt0164; share-WINSERVER-SSEnt0165; share-WINSERVER-SSEnt0166; share-WINSERVER-SSEnt0167; share-WINSERVER-SSEnt0168; share-WINSERVER-SSEnt0169; share-WINSERVER-SSEnt0170; share-WINSERVER-SSEnt0171; share-WINSERVER-SSEnt0172; share-WINSERVER-SSEnt0173; share-WINSERVER-SSEnt0174; share-WINSERVER-SSEnt0175; share-WINSERVER-SSEnt0176; share-WINSERVER-SSEnt0177; share-WINSERVER-SSEnt0178; share-WINSERVER-SSEnt0179; share-WINSERVER-SSEnt0180; share-WINSERVER-SSEnt0181; share-WINSERVER-SSEnt0182; share-WINSERVER-SSEnt0183; share-WINSERVER-SSEnt0184; share-WINSERVER-SSEnt0185; share-WINSERVER-SSEnt0186; share-WINSERVER-SSEnt0187; share-WINSERVER-SSEnt0188; share-WINSERVER-SSEnt0189; share-WINSERVER-SSEnt0190; share-WINSERVER-SSEnt0191; share-WINSERVER-SSEnt0192; share-WINSERVER-SSEnt0193; share-WINSERVER-SSEnt0194; share-WINSERVER-SSEnt0195; share-WINSERVER-SSEnt0196; share-WINSERVER-SSEnt0197; share-WINSERVER-SSEnt0198; share-WINSERVER-SSEnt0199; share-WINSERVER-SSEnt0200; share-WINSERVER-SSEnt0201; share-WINSERVER-SSEnt0202; share-WINSERVER-SSEnt0203; share-WINSERVER-SSEnt0204; share-WINSERVER-SSEnt0205; share-WINSERVER-SSEnt0206; share-WINSERVER-SSEnt0207; share-WINSERVER-SSEnt0208; share-WINSERVER-SSEnt0209; share-WINSERVER-SSEnt0210; share-WINSERVER-SSEnt0211; share-WINSERVER-SSEnt0212; share-WINSERVER-SSEnt0213; share-WINSERVER-SSEnt0214; share-WINSERVER-SSEnt0215; share-WINSERVER-SSEnt0216; share-WINSERVER-SSEnt0217; share-WINSERVER-SSEnt0218; share-WINSERVER-SSEnt0219; share-WINSERVER-SSEnt0220; share-WINSERVER-SSEnt0221; share-WINSERVER-SSEnt0222; share-WINSERVER-SSEnt0223; share-WINSERVER-SSEnt0224; share-WINSERVER-SSEnt0225; share-WINSERVER-SSEnt0226; share-WINSERVER-SSEnt0227; share-WINSERVER-SSEnt0228; share-WINSERVER-SSEnt0229; share-WINSERVER-SSEnt0230; share-WINSERVER-SSEnt0231; share-WINSERVER-SSEnt0232; share-WINSERVER-SSEnt0233; share-WINSERVER-SSEnt0234; share-WINSERVER-SSEnt0235; share-WINSERVER-SSEnt0236; share-WINSERVER-SSEnt0237; share-WINSERVER-SSEnt0238; share-WINSERVER-SSEnt0239; share-WINSERVER-SSEnt0240; share-WINSERVER-SSEnt0241; share-WINSERVER-SSEnt0242; share-WINSERVER-SSEnt0243; share-WINSERVER-SSEnt0244; share-WINSERVER-SSEnt0245; share-WINSERVER-SSEnt0246; share-WINSERVER-SSEnt0247; share-WINSERVER-SSFinance; share-WINSERVER-SSOperations","NTFS","C:\ShareSurferEnterpriseLab\Finance","C:\ShareSurferEnterpriseLab\Finance"
"LAB\SS-ENT-0001-Editors","SS-ENT-0001-Editors","group","CORP.ENT.SHARE0001.MODIFY","","0","19","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0001","share-WINSERVER-SSEnt0001","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02"
"LAB\SS-ENT-0002-Editors","SS-ENT-0002-Editors","group","CORP.ENT.SHARE0002.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0002","share-WINSERVER-SSEnt0002","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0002\Division03\Region03\Program03\Project03\Workstream03","C:\ShareSurferEnterpriseLab\Enterprise\Share0002\Division03\Region03\Program03\Project03\Workstream03"
"LAB\SS-ENT-0003-Editors","SS-ENT-0003-Editors","group","CORP.ENT.SHARE0003.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0003","share-WINSERVER-SSEnt0003","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0003\Division04\Region04\Program04\Project04\Workstream04","C:\ShareSurferEnterpriseLab\Enterprise\Share0003\Division04\Region04\Program04\Project04\Workstream04"
"LAB\SS-ENT-0004-Editors","SS-ENT-0004-Editors","group","CORP.ENT.SHARE0004.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0004","share-WINSERVER-SSEnt0004","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0004\Division05\Region05\Program05\Project05\Workstream05","C:\ShareSurferEnterpriseLab\Enterprise\Share0004\Division05\Region05\Program05\Project05\Workstream05"
"LAB\SS-ENT-0005-Editors","SS-ENT-0005-Editors","group","CORP.ENT.SHARE0005.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0005","share-WINSERVER-SSEnt0005","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0005\Division06\Region06\Program06\Project06\Workstream06","C:\ShareSurferEnterpriseLab\Enterprise\Share0005\Division06\Region06\Program06\Project06\Workstream06"
"LAB\SS-ENT-0006-Editors","SS-ENT-0006-Editors","group","CORP.ENT.SHARE0006.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0006","share-WINSERVER-SSEnt0006","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0006\Division07\Region07\Program07\Project07\Workstream07","C:\ShareSurferEnterpriseLab\Enterprise\Share0006\Division07\Region07\Program07\Project07\Workstream07"
"LAB\SS-ENT-0007-Editors","SS-ENT-0007-Editors","group","CORP.ENT.SHARE0007.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0007","share-WINSERVER-SSEnt0007","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0007\Division08\Region08\Program08\Project08\Workstream08","C:\ShareSurferEnterpriseLab\Enterprise\Share0007\Division08\Region08\Program08\Project08\Workstream08"
