"RelatedAreaId","RelatedDataArea","BusinessUnit","Owner","Pattern","Source","RiskLevel","MigrationReadiness","MatchingShares","MatchingItems","Directories","Files","FindingCount","ConflictCount","ReviewItemCount","PartialShareCount","DirectIdentityCount","DirectGroupCount","ExpandedMemberCount","RelatedBecause","SuggestedNextAction"
"related-area-0166","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0001*","LabPlan","High","Blocked by scan gaps","1","25","16","9","5","137","142","1","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk; partial collection gap","Review collection errors and rerun the scan before final migration planning."
"related-area-0249","Finance / Finance Data Owners","Finance","Finance Data Owners","C:\ShareSurferEnterpriseLab\Finance*","LabPlan","High","Blocked by scan gaps","1","20","10","10","7","96","103","1","6","4","10","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk; partial collection gap","Review collection errors and rerun the scan before final migration planning."
"related-area-0001","Engineering / Engineering Data Owners","Engineering","Engineering Data Owners","C:\ShareSurferEnterpriseLab\Engineering*","LabPlan","High","Review","1","12","3","9","0","45","45","0","5","3","8","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0167","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0122*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0165","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0002*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0168","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0003*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0171","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0004*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0170","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0005*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0169","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0006*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0164","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0007*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0159","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0008*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0158","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0009*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0157","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0010*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0160","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0011*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0163","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0012*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0162","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0013*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0161","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0014*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0182","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0015*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0181","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0016*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0180","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0017*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0183","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0018*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0186","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0019*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
