"EventId","Timestamp","Level","EventType","Source","ShareId","ItemId","Message","Detail"
"685c1f58e75848f0b29d8bae1de18f7a","2026-06-05T17:24:39.0489057Z","Info","ShareTargetResolved","Get-SmbShare","share-WINSERVER-SSFinance","","Resolved share target \\WINSERVER\SSFinance","C:\ShareSurferEnterpriseLab\Finance"
"c3994a21c6b742e3b77150d9d949cf58","2026-06-05T17:24:39.0874208Z","Info","TargetPathResolved","TargetPath","share-WINSERVER-SSFinance","","Resolved target path C:\ShareSurferEnterpriseLab\Finance","C:\ShareSurferEnterpriseLab\Finance"
"91a9738b8ddc44acab6be16c2477624d","2026-06-05T17:24:39.3131104Z","Warning","EnumerationError","Get-ChildItem","share-WINSERVER-SSFinance","","Unable to enumerate child path C:\ShareSurferEnterpriseLab\Finance\AP\LongPath\AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA\BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","Could not find a part of the path 'C:\ShareSurferEnterpriseLab\Finance\AP\LongPath\AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA\BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB'."
"12fcf77eb61949239b052b2a3cbed02d","2026-06-05T17:24:39.8818859Z","Info","ShareTargetResolved","Get-SmbShare","share-WINSERVER-SSEngineering","","Resolved share target \\WINSERVER\SSEngineering","C:\ShareSurferEnterpriseLab\Engineering"
"dd7c2e19e3484e50beccd10629ab99e1","2026-06-05T17:24:39.8839003Z","Info","TargetPathResolved","TargetPath","share-WINSERVER-SSEngineering","","Resolved target path C:\ShareSurferEnterpriseLab\Engineering","C:\ShareSurferEnterpriseLab\Engineering"
"0d8906b0730e41a1b149f626410caeb6","2026-06-05T17:24:40.3580380Z","Info","ShareTargetResolved","Get-SmbShare","share-WINSERVER-SSOperations","","Resolved share target \\WINSERVER\SSOperations","C:\ShareSurferEnterpriseLab\Operations"
"40c83dd9bdd94111a2c74fc4c8bf45eb","2026-06-05T17:24:40.3600527Z","Info","TargetPathResolved","TargetPath","share-WINSERVER-SSOperations","","Resolved target path C:\ShareSurferEnterpriseLab\Operations","C:\ShareSurferEnterpriseLab\Operations"
"3bc3ebb2ad1a44eab7bb51fd407d594c","2026-06-05T17:24:40.8181987Z","Info","ShareTargetResolved","Get-SmbShare","share-WINSERVER-SSEnt0001","","Resolved share target \\WINSERVER\SSEnt0001","C:\ShareSurferEnterpriseLab\Enterprise\Share0001"
"a13b859320c442c9ba99a1abd0826481","2026-06-05T17:24:40.8202587Z","Info","TargetPathResolved","TargetPath","share-WINSERVER-SSEnt0001","","Resolved target path C:\ShareSurferEnterpriseLab\Enterprise\Share0001","C:\ShareSurferEnterpriseLab\Enterprise\Share0001"
"377fb2d663a74edea973b99f1fe0a538","2026-06-05T17:24:41.0314961Z","Warning","EnumerationError","Get-ChildItem","share-WINSERVER-SSEnt0001","","Unable to enumerate child path C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02\LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL\MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM","Could not find a part of the path 'C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02\LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL\MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM'."
