"ShareId","Identity","Rights","AccessControlType","Source"
"share-WINSERVER-SSFinance","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSFinance","LAB\SS-Finance-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEngineering","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEngineering","LAB\SS-Eng-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSOperations","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSOperations","LAB\SS-Operations-Owners","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0001","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0001","LAB\SS-ENT-0001-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0002","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0002","LAB\SS-ENT-0002-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0003","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0003","LAB\SS-ENT-0003-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0004","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0004","LAB\SS-ENT-0004-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0005","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0005","LAB\SS-ENT-0005-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0006","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0006","LAB\SS-ENT-0006-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0007","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0007","LAB\SS-ENT-0007-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0008","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
