"ShareId","Source","ComputerName","ShareName","UNCPath","LocalPath","Description","PartialData","PartialReason"
"share-WINSERVER-SSFinance","Get-SmbShare","WINSERVER","SSFinance","\\WINSERVER\SSFinance","C:\ShareSurferEnterpriseLab\Finance","Finance lab share with deep explicit ACEs and share-vs-NTFS conflict","True","Scan errors recorded: AclReadError=1; EnumerationError=1"
"share-WINSERVER-SSEngineering","Get-SmbShare","WINSERVER","SSEngineering","\\WINSERVER\SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","Engineering lab share with normal inherited permissions","False",""
"share-WINSERVER-SSOperations","Get-SmbShare","WINSERVER","SSOperations","\\WINSERVER\SSOperations","C:\ShareSurferEnterpriseLab\Operations","Operations lab share with ownership and broken inheritance examples","False",""
"share-WINSERVER-SSEnt0001","Get-SmbShare","WINSERVER","SSEnt0001","\\WINSERVER\SSEnt0001","C:\ShareSurferEnterpriseLab\Enterprise\Share0001","Enterprise-scale complex share 0001","True","Scan errors recorded: AclReadError=1; EnumerationError=1"
"share-WINSERVER-SSEnt0002","Get-SmbShare","WINSERVER","SSEnt0002","\\WINSERVER\SSEnt0002","C:\ShareSurferEnterpriseLab\Enterprise\Share0002","Enterprise-scale complex share 0002","False",""
"share-WINSERVER-SSEnt0003","Get-SmbShare","WINSERVER","SSEnt0003","\\WINSERVER\SSEnt0003","C:\ShareSurferEnterpriseLab\Enterprise\Share0003","Enterprise-scale complex share 0003","False",""
"share-WINSERVER-SSEnt0004","Get-SmbShare","WINSERVER","SSEnt0004","\\WINSERVER\SSEnt0004","C:\ShareSurferEnterpriseLab\Enterprise\Share0004","Enterprise-scale complex share 0004","False",""
"share-WINSERVER-SSEnt0005","Get-SmbShare","WINSERVER","SSEnt0005","\\WINSERVER\SSEnt0005","C:\ShareSurferEnterpriseLab\Enterprise\Share0005","Enterprise-scale complex share 0005","False",""
"share-WINSERVER-SSEnt0006","Get-SmbShare","WINSERVER","SSEnt0006","\\WINSERVER\SSEnt0006","C:\ShareSurferEnterpriseLab\Enterprise\Share0006","Enterprise-scale complex share 0006","False",""
"share-WINSERVER-SSEnt0007","Get-SmbShare","WINSERVER","SSEnt0007","\\WINSERVER\SSEnt0007","C:\ShareSurferEnterpriseLab\Enterprise\Share0007","Enterprise-scale complex share 0007","False",""
"share-WINSERVER-SSEnt0008","Get-SmbShare","WINSERVER","SSEnt0008","\\WINSERVER\SSEnt0008","C:\ShareSurferEnterpriseLab\Enterprise\Share0008","Enterprise-scale complex share 0008","False",""
"share-WINSERVER-SSEnt0009","Get-SmbShare","WINSERVER","SSEnt0009","\\WINSERVER\SSEnt0009","C:\ShareSurferEnterpriseLab\Enterprise\Share0009","Enterprise-scale complex share 0009","False",""
"share-WINSERVER-SSEnt0010","Get-SmbShare","WINSERVER","SSEnt0010","\\WINSERVER\SSEnt0010","C:\ShareSurferEnterpriseLab\Enterprise\Share0010","Enterprise-scale complex share 0010","False",""
"share-WINSERVER-SSEnt0011","Get-SmbShare","WINSERVER","SSEnt0011","\\WINSERVER\SSEnt0011","C:\ShareSurferEnterpriseLab\Enterprise\Share0011","Enterprise-scale complex share 0011","False",""
"share-WINSERVER-SSEnt0012","Get-SmbShare","WINSERVER","SSEnt0012","\\WINSERVER\SSEnt0012","C:\ShareSurferEnterpriseLab\Enterprise\Share0012","Enterprise-scale complex share 0012","False",""
"share-WINSERVER-SSEnt0013","Get-SmbShare","WINSERVER","SSEnt0013","\\WINSERVER\SSEnt0013","C:\ShareSurferEnterpriseLab\Enterprise\Share0013","Enterprise-scale complex share 0013","False",""
"share-WINSERVER-SSEnt0014","Get-SmbShare","WINSERVER","SSEnt0014","\\WINSERVER\SSEnt0014","C:\ShareSurferEnterpriseLab\Enterprise\Share0014","Enterprise-scale complex share 0014","False",""
