"ItemId","ShareId","ItemType","FullPath","RelativePath","Depth","Owner","InheritanceEnabled","InheritanceBrokenAt"
"ID-C1BA9F094ABA","ID-427FE57F8BEB","Directory","ID-DB8009CE5AB5","","0","ID-217D54F2A1BE","True",""
"ID-535FA1BFE92D","ID-427FE57F8BEB","Directory","ID-DB1F1047669F","ID-9AA5A4D44AB0","1","ID-217D54F2A1BE","True",""
"ID-18D78493BC52","ID-B5DE5B676C97","Directory","ID-E2F2F0855942","","0","ID-217D54F2A1BE","True",""
"ID-DA67ACCB0685","ID-FF24A257AC98","Directory","ID-46177F6ADC9F","","0","ID-217D54F2A1BE","True",""
"ID-2697AB527DDB","ID-427FE57F8BEB","Directory","ID-AEEB7F0193B3","ID-9162782D0024","2","ID-217D54F2A1BE","True",""
"ID-634FE3CF8C24","ID-427FE57F8BEB","Directory","ID-DBA6DDA39007","ID-E0F2739B7C95","2","ID-217D54F2A1BE","True",""
"ID-461E5FB9A3C6","ID-427FE57F8BEB","Directory","ID-C27816325314","ID-8B486033932B","2","ID-217D54F2A1BE","True",""
"ID-320DE9EB8861","ID-FF24A257AC98","Directory","ID-EE57D5DE722E","ID-526B5DD15EB6","1","ID-217D54F2A1BE","True",""
"ID-36B51168E876","ID-4114DC20EECA","Directory","ID-C7CBEDB18B82","","0","ID-217D54F2A1BE","True",""
"ID-2E5A0A89D8BF","ID-5387D3CA2368","Directory","ID-424D20E61C64","","0","ID-217D54F2A1BE","True",""
"ID-F3F46BB22B8D","ID-8EBFF12BE1CA","Directory","ID-EC562F063F86","","0","ID-217D54F2A1BE","True",""
"ID-308AC0F1C1F8","ID-EFA86385524E","Directory","ID-391627E78592","","0","ID-217D54F2A1BE","True",""
"ID-201A1CE1DA95","ID-7E438A6220E4","Directory","ID-858097B9A039","","0","ID-217D54F2A1BE","True",""
"ID-32DC95447AD4","ID-54D047C0C10E","Directory","ID-20CD0A16CE2B","","0","ID-217D54F2A1BE","True",""
"ID-19F5B0DAAEE9","ID-6146270638B1","Directory","ID-43B4A6552705","","0","ID-217D54F2A1BE","True",""
"ID-F650D5617343","ID-F0925E579A09","Directory","ID-8067868756E5","","0","ID-217D54F2A1BE","True",""
"ID-F423EF44E67C","ID-6C994D206912","Directory","ID-BAA64B9B73DF","","0","ID-217D54F2A1BE","True",""
"ID-1E1BE3C4F0EA","ID-F5F86F20FCD1","Directory","ID-638ACA1BAB65","","0","ID-217D54F2A1BE","True",""
"ID-5DF76D4F9916","ID-7D766E983EBD","Directory","ID-7BC4878CA4BE","","0","ID-217D54F2A1BE","True",""
