"BusinessUnit","Owner","Pattern","Source","MatchingItems","Directories","Files","FindingCount","ConflictCount","PartialShareCount","DirectIdentityCount","DirectGroupCount","ExpandedMemberCount","RiskLevel"
"ID-E2673D1A42EE","ID-E2935BE59904","ID-8D64C5185490","LabPlan","12","3","9","0","45","0","5","3","8","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-029A5AF7BD28","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-FB7F34D06E3B","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-71EC3A14B319","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-461CC4F90EC9","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-66A1E839001C","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-88D691811520","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-809FB8D1B8FF","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-F67585FF68B7","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-9B7AE94E6574","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-04F630CCCB0A","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-C6FAB0365DFE","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-BDC06E1A4F04","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-70FF7D42ADD5","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-10727FE3233B","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-BD6AF7091635","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-8F6A3B04F364","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-E96D0CE3525B","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-5BC73A56189C","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-5B3FC8C23820","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-E21B81FBCC3E","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-F351A6DDC9D1","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-730AE8C8C8E1","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-51BD570C1CBC","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-C071A8A79079","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-DDBA0749784F","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-B3997C7E3F73","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-EBF7349FADEC","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-C8771FB2E818","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-ABAF8CD4F63F","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-BDE912BF822F","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-782F446986FE","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-645AFB0397C1","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-7B17F8B0093D","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-A02DDA00A8DE","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-2766B6FB1926","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-AF20D5F7C33F","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-3F91573D12EF","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-999A24D6542E","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-2D32E23AD7AE","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-7121A901D5C9","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-E045B60A8087","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-FF112749789E","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-A252F35BED27","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-BA99ECB0152E","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-91C28D8F1D24","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-0AC9BE91820F","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-9478C818561D","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-67D31D40950F","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-CA910EC9B22D","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-1CCF877D73A8","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-713986E96C46","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-5779BBC179C8","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-79C308BB3299","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-C831B13774B3","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-0C0F525EF3C6","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-9C0AF686C2D1","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-59886CF51DFC","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-287A0A7666E1","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-38AC3C790E6F","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-618A95CD1F82","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-73F7C44D4601","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-5BC3CE7D488D","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-AFBD3967E559","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-11CD23D545E2","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-C4C51ABFF869","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-CC7DF70366CD","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-EE84EC76764F","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-D608BCB68A27","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-3EF0DBC2A366","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-666372C797A6","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-89FD9B263910","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-D902B09C59F2","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-B3655E6B2982","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-40ACB3479513","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-3D8BEF74731F","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-071A196EE731","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-B00555F54A65","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-1F925D600EBE","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-2CA44D11B3A9","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-17B2D69A508B","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-00281FF75681","LabPlan","23","14","9","1","130","0","6","4","9","High"
"ID-57D2DAACE60A","ID-2ECFB50A6780","ID-C96F6E4D35EC","LabPlan","23","14","9","1","130","0","6","4","9","High"
