"EventId","Timestamp","Level","EventType","Source","ShareId","ItemId","Message","Detail"
"ID-15E6CFC65122","ID-A76C3CBC74A5","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-427FE57F8BEB","","ID-2562FE1D0908","ID-DB8009CE5AB5"
"ID-9F49BDA760FC","ID-B5C82F019126","Info","ID-3EEC13DCA519","TargetPath","ID-427FE57F8BEB","","ID-DB0C3265E54D","ID-DB8009CE5AB5"
"ID-E8C236BEDB01","ID-FF678B0FA15C","Warning","ID-64C5CBC65366","Get-ChildItem","ID-427FE57F8BEB","","ID-F6CF6CFC9829","ID-65D5C022631B"
"ID-C8F9951BF173","ID-193B797CDEBE","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-FF24A257AC98","","ID-99EA1DB01DA5","ID-46177F6ADC9F"
"ID-C780C3456BBC","ID-C3392A7E8076","Info","ID-3EEC13DCA519","TargetPath","ID-FF24A257AC98","","ID-307718E98E15","ID-46177F6ADC9F"
"ID-5D1769893E3C","ID-EB7B11B78DEC","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-B5DE5B676C97","","ID-0B3A175B711D","ID-E2F2F0855942"
"ID-F34074E74DFE","ID-5DDFCA7A880F","Info","ID-3EEC13DCA519","TargetPath","ID-B5DE5B676C97","","ID-5669F73E8A3E","ID-E2F2F0855942"
"ID-BA8DEDA2EA57","ID-96498DBCC383","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-4114DC20EECA","","ID-4CECD3A87E1A","ID-C7CBEDB18B82"
"ID-FAD5F172CC21","ID-61BD1F59FAE6","Info","ID-3EEC13DCA519","TargetPath","ID-4114DC20EECA","","ID-29A3C357343F","ID-C7CBEDB18B82"
"ID-858010FBFC48","ID-F6796B50D0C0","Warning","ID-64C5CBC65366","Get-ChildItem","ID-4114DC20EECA","","ID-30E74BF3C880","ID-B7011A6AE17F"
"ID-780E6912E424","ID-CF730D1EFAA6","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-5387D3CA2368","","ID-E592536F0A1B","ID-424D20E61C64"
"ID-399B164B8386","ID-7EE0A95B82B0","Info","ID-3EEC13DCA519","TargetPath","ID-5387D3CA2368","","ID-9A6A74891BE2","ID-424D20E61C64"
"ID-7B22A841DAC7","ID-788457ED3CD3","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-8EBFF12BE1CA","","ID-0A56C9B7C70C","ID-EC562F063F86"
"ID-7282316D734E","ID-4DF94F786126","Info","ID-3EEC13DCA519","TargetPath","ID-8EBFF12BE1CA","","ID-A394090F4EAA","ID-EC562F063F86"
"ID-9D5E4CB5440B","ID-7F996543BD42","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-EFA86385524E","","ID-2CC2716EC5CF","ID-391627E78592"
"ID-0844BC5E767B","ID-C6BA77BA2D7D","Info","ID-3EEC13DCA519","TargetPath","ID-EFA86385524E","","ID-03A0A64F96BD","ID-391627E78592"
"ID-AA65C89EE9DC","ID-44CCBD434A52","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-7E438A6220E4","","ID-04A316CB9484","ID-858097B9A039"
"ID-FA0FDD235AA9","ID-3149DBAFCDF7","Info","ID-3EEC13DCA519","TargetPath","ID-7E438A6220E4","","ID-1951BA28E79B","ID-858097B9A039"
"ID-B5D210696297","ID-D48B707EF384","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-54D047C0C10E","","ID-D8F30E5DE788","ID-20CD0A16CE2B"
"ID-6B5B32655EA7","ID-B02AF0D2B4FE","Info","ID-3EEC13DCA519","TargetPath","ID-54D047C0C10E","","ID-4D0F932BA4E4","ID-20CD0A16CE2B"
"ID-A9ADDF0A17ED","ID-2745BF950B9B","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-6146270638B1","","ID-14376FBD6E92","ID-43B4A6552705"
"ID-2B4C80C1EC32","ID-1D34DD07FBC2","Info","ID-3EEC13DCA519","TargetPath","ID-6146270638B1","","ID-E35C65245506","ID-43B4A6552705"
"ID-E2ED04A51350","ID-D889FCF24BF2","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-F0925E579A09","","ID-15E6BF31E1ED","ID-8067868756E5"
"ID-627A6286B718","ID-DF4A912F9A30","Info","ID-3EEC13DCA519","TargetPath","ID-F0925E579A09","","ID-9F8606CDFAE2","ID-8067868756E5"
"ID-EFCF23E1B694","ID-28039117FEA5","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-6C994D206912","","ID-C88BF9093A21","ID-BAA64B9B73DF"
"ID-A198E8B04D00","ID-0795135D96BD","Info","ID-3EEC13DCA519","TargetPath","ID-6C994D206912","","ID-00F418A4CF9B","ID-BAA64B9B73DF"
"ID-AEB36B74E41B","ID-1048906B05C5","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-F5F86F20FCD1","","ID-16B772A11559","ID-638ACA1BAB65"
"ID-46C2CF1B84EF","ID-86E4AD75E437","Info","ID-3EEC13DCA519","TargetPath","ID-F5F86F20FCD1","","ID-49670362C8C5","ID-638ACA1BAB65"
"ID-9383841368D4","ID-F99CABA3988D","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-7D766E983EBD","","ID-92C64F6BDF2F","ID-7BC4878CA4BE"
"ID-A23ED89D5067","ID-DEB704492E0D","Info","ID-3EEC13DCA519","TargetPath","ID-7D766E983EBD","","ID-D59F6D26F746","ID-7BC4878CA4BE"
"ID-32D5FBFC7861","ID-992AA0866838","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-24ADD11EC9B3","","ID-40A30ECDE5EA","ID-F0AABC9140F5"
"ID-87648319B529","ID-7C490F94B263","Info","ID-3EEC13DCA519","TargetPath","ID-24ADD11EC9B3","","ID-B719A1779D06","ID-F0AABC9140F5"
"ID-FE528D0174FC","ID-E04914D75545","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-685A3058033C","","ID-6D499E0CB99C","ID-B41A40048FD3"
